Symbol,Name
RELIANCE,Reliance Industries
TCS,Tata Consultancy Services
HDFCBANK,HDFC Bank
ICICIBANK,ICICI Bank
BHARTIARTL,Bharti Airtel
INFY,Infosys
SBIN,State Bank of India
ITC,ITC
LICI,LIC of India
HINDUNILVR,Hindustan Unilever
HCLTECH,HCL Technologies
LT,Larsen & Toubro
SUNPHARMA,Sun Pharmaceutical
BAJFINANCE,Bajaj Finance
M&M,Mahindra & Mahindra
KOTAKBANK,Kotak Bank
MARUTI,Maruti Suzuki
AXISBANK,Axis Bank
ULTRACEMCO,UltraTech Cement
NTPC,NTPC
WIPRO,Wipro
ONGC,Oil & Natural Gas Corporation
TITAN,Titan
POWERGRID,Power Grid Corporation of India
HAL,Hindustan Aeronautics
TATAMOTORS,Tata Motors
ADANIENT,Adani Enterprises
ADANIPORTS,Adani Ports & SEZ
BAJAJFINSV,Bajaj Finserv
TRENT,Trent
BAJAJ-AUTO,Bajaj Auto
ZOMATO,Zomato
SIEMENS,Siemens
COALINDIA,Coal India
JSWSTEEL,JSW Steel
DMART,Avenue Supermarts DMart
ASIANPAINT,Asian Paints
BEL,Bharat Electronics
NESTLEIND,Nestle
DLF,DLF
VBL,Varun Beverages
HINDZINC,Hindustan Zinc
IOC,Indian Oil Corporation
JIOFIN,Jio Financial Services
IRFC,IRFC
ADANIPOWER,Adani Power
VEDL,Vedanta
INDIGO,Interglobe Aviation
TATASTEEL,Tata Steel
LTIM,LTI Mindtree
TECHM,Tech Mahindra
GRASIM,Grasim Industries
ADANIGREEN,Adani Green Energy
DIVISLAB,Divis Laboratories
PIDILITIND,Pidilite Industries
PFC,Power Finance Corporation
ABB,ABB
HYUNDAI,Hyundai Motor India
HINDALCO,Hindalco Industries
LODHA,Macrotech Developers
SBILIFE,SBI Life Insurance
HDFCLIFE,HDFC Life Insurance
AMBUJACEM,Ambuja Cements
RECLTD,Rural Electrification Corporation
EICHERMOT,Eicher Motors
GAIL,GAIL
TATAPOWER,Tata Power
SWIGGY,Swiggy
BPCL,Bharat Petroleum
BANKBARODA,Bank of Baroda
BAJAJHLDNG,Bajaj Holdings & Investments
INDHOTEL,Indian Hotels Company
CIPLA,Cipla
MANKIND,Mankind Pharma
TVSMOTOR,TVS Motors
TORNTPHARM,Torrent Pharmaceuticals
BRITANNIA,Britannia Industries
UNITDSPR,United Spirits
JSWENERGY,JSW Energy
DRREDDY,Dr Reddys Laboratories
NAUKRI,Info Edge
NTPCGREEN,NTPC Green Energy
PNB,Punjab National Bank
MAXHEALTH,Max Healthcare Institute
MOTHERSON,Samvardhana Motherson International
GODREJCP,Godrej Consumer Products
CGPOWER,CG Power & Industrial Solutions
SHRIRAMFIN,Shriram Finance
DIXON,Dixon Technologies
OFSS,Oracle Financial Services Software
POLYCAB,Polycab
BAJAJHFL,Bajaj Housing Finance
HAVELLS,Havells
APOLLOHOSP,Apollo Hospitals
BOSCHLTD,Bosch
CHOLAFIN,Cholamandalam Investment
PERSISTENT,Persistent Systems
LUPIN,Lupin
IOB,Indian Overseas Bank
ZYDUSLIFE,Zydus Life Science
SHREECEM,Shree Cement
JINDALSTEL,Jindal Steel
ICICIPRULI,ICICI Prudential Life Insurance
POLICYBZR,PB FinTech
CUMMINSIND,Cummins
MAZDOCK,Mazagon Dock Shipbuilders
ADANIENSOL,Adani Energy Solutions
ICICIGI,ICICI Lombard General Insurance
SOLARINDS,Solar Industries
CANBK,Canara Bank
DABUR,Dabur
UNIONBANK,Union Bank of India
HDFCAMC,HDFC AMC
TATACONSUM,Tata Consumer Products
RVNL,Rail Vikas Nigam
SUZLON,Suzlon Energy
INDUSTOWER,Indus Towers
HINDPETRO,Hindustan Petroleum
HEROMOTOCO,Hero Motocorp
GMRAIRPORT,GMR Airports
BHEL,Bharat Heavy Electricals
OBEROIRLTY,Oberoi Realty
NHPC,NHPC
WAAREEENER,Waaree Energies
GICRE,GIC of India
MARICO,Marico
IDBI,IDBI Bank
MUTHOOTFIN,Muthoot Finance
GODREJPROP,Godrej Properties
PRESTIGE,Prestige Estate
BHARTIHEXA,Bharti Hexacom
COLPAL,Colgate Palmolive
KALYANKJIL,Kalyan Jewellers
ATGL,Adani Total Gas
BSE,BSE
AUROPHARMA,Aurobindo Pharma
INDIANB,Indian Bank
INDUSINDBK,Indusind Bank
TORNTPOWER,Torrent Power
OIL,Oil India
TIINDIA,Tube Investment
SRF,SRF
SBICARD,SBI Cards
JSWINFRA,JSW Infrastructure
ALKEM,Alkem Laboratories
ASHOKLEY,Ashok Leyland
IRCTC,IRCTC
PATANJALI,Patanjali Foods
FACT,Fertilisers & Chemical Travancore
COFORGE,Coforge
PAYTM,One97 Communications
NMDC,NMDC
LLOYDSME,Lloyds Metals & Energy
YESBANK,Yes Bank
BHARATFORG,Bharat Forge
UNOMINDA,UNO Minda
PHOENIXLTD,Phoenix Mills
ABBOTINDIA,Abbott
SUPREMEIND,Supreme Industries
JSL,Jindal Stainless
PREMIERENE,Premier Energies
POWERINDIA,Hitachi Energy
PIIND,PI Industries
MPHASIS,Mphasis
VOLTAS,Voltas
MRF,MRF
MOTILALOFS,Motilal Oswal Financial Services
COROMANDEL,Coromandel International
PAGEIND,Page Industries
BALKRISIND,Balkrishna Industries
UBL,United Breweries
IREDA,IREDA
GVT&D,GE Vernova T&D
LINDEINDIA,Linde
THERMAX,Thermax
UCOBANK,UCO Bank
SCHAEFFLER,Schaeffler India
IDEA,Vodafone Idea
BERGEPAINT,Berger Paints
FORTIS,Fortis Healthcare
PETRONET,Petronet LNG
LTTS,L&T Technology Services
SAIL,Steel Authority of India
TATACOMM,Tata Communications
SUNDARMFIN,Sundaram Finance
ABCAPITAL,Aditya Birla Capital
FEDERALBNK,Federal Bank
360ONE,360 One WAM
PGHH,P&G Hygiene and Health Care
FLUOROCHEM,Gujarat Fluorochemicals
NAM-INDIA,Nippon Life India AMC
CONCOR,Container Corporation of India
CENTRALBK,Central Bank of India
VMM,Vishal Mega Mart
BANKINDIA,Bank of India
HUDCO,HUDCO
JUBLFOOD,Jubilant FoodWorks
KAYNES,Kaynes Technology
NYKAA,Nykaa
AIRTELPP,Bharti Airtel - PP
IDFCFIRSTB,IDFC First Bank
ASTRAL,Astral
BDL,Bharat Dynamics
GLENMARK,Glenmark Pharmaceuticals
SJVN,SJVN
TATAELXSI,Tata Elxsi
APLAPOLLO,APL Apollo Tubes
CRISIL,CRISIL
OLAELEC,Ola Electric Mobility
AWL,Adani Wilmar
BIOCON,Biocon
AUBANK,AU Small Finance Bank
MAHABANK,Bank of Maharashtra
BLUESTARCO,Blue Star
IPCALAB,IPCA Laboratories
APARINDS,Apar Industries
KPITTECH,KPIT Technologies
NATIONALUM,NALCO
ACC,ACC
COCHINSHIP,Cochin Shipyard
GLAXO,GlaxoSmithKline Pharmaceuticals
MFSL,Max Financial Services
CDSL,CDSL
GODREJIND,Godrej Industries
UPL,United Phosphorus
KEI,KEI Industries
SONACOMS,Sona BLW Precision Forgings
TATATECH,Tata Technologies
HONAUT,Honeywell Automation
KPRMILL,KPR Mill
EXIDEIND,Exide Industries
DEEPAKNTR,Deepak Nitrite
ESCORTS,Escorts Kubota
JKCEMENT,JK Cement
3MINDIA,3M India
GUJGASLTD,Gujarat Gas
LTF,L&T Finance
TATAINVEST,Tata Investment Corporation
SYNGENE,Syngene International
APOLLOTYRE,Apollo Tyres
RADICO,Radico Khaitan
PPLPHARMA,Piramal Pharma
METROBRAND,Metro Brands
NLCINDIA,NLC India
ITI,ITI
IKS,Inventurus Knowledge Solutions
IRB,IRB Infrastructure Developers
FIRSTCRY,Firstcry (Brainbees Solutions)
NIACL,The New India Assurance Company
M&MFIN,M&M Financial Services
PSB,Punjab & Sind Bank
MCX,MCX
DALBHARAT,Dalmia Bharat
LICHSGFIN,LIC Housing Finance
AIAENG,AIA Engineering
GILLETTE,Gillette
BRIGADE,Brigade Enterprises
JYOTICNC,Jyoti CNC Automation
MANYAVAR,Vedant Fashions
ENDURANCE,Endurance Technologies
LAURUSLABS,Laurus Labs
KEC,KEC International
ABFRL,Aditya Birla Fashion
MEDANTA,Global Health
GLAND,Gland Pharma
GODIGIT,Go Digit General Insurance
JBCHEPHARM,J B Chemicals and Pharmaceuticals
AEGISLOG,Aegis Logistics
SUVENPHAR,Suven Pharmaceuticals
ABREL,Aditya Birla Real Estate
AIIL,AIIL
STARHEALTH,Star Health Insurance
ANANTRAJ,Anant Raj Industries
IGL,Indraprastha Gas
ISEC,ICICI Securities
SUNTV,Sun TV Network
HSCL,Himadri Speciality Chemical
TATACHEM,Tata Chemicals
HINDCOPPER,Hindustan Copper
EMCURE,Emcure Pharmaceuticals
BANDHANBNK,Bandhan Bank
NH,Narayana Hrudayalaya
GODFRYPHLP,Godfrey Phillips
SUMICHEM,Sumitomo Chemical
CHOLAHLDNG,Cholamandalam Financial Holdings
DELHIVERY,Delhivery
ANGELONE,Angel One
EMAMILTD,Emami
MRPL,Mangalore Refinery & Petroleum
MSUMI,Motherson Sumi Wiring
EIHOTEL,EIH Hotels
BAYERCROP,Bayer Crop Science
POLYMED,Poly Medicure
CROMPTON,Crompton Greaves
KFINTECH,KFin Technologies
PGEL,PG Electroplast
NBCC,NBCC
ASTERDM,Aster DM Healthcare
POONAWALLA,Poonawalla Fincorp
FSL,Firstsource Solutions
AFFLE,Affle India
NATCOPHARM,Natco Pharma
PEL,Piramal Enterprises
CARBORUNIV,Carborundum Universal
AMBER,Amber Enterprises
LALPATHLAB,Dr. Lal Path Labs
NUVAMA,Nuvama Wealth Management
BASF,BASF
CESC,CESC
CAMS,Computer Age Management Services
WOCKPHARMA,Wockhardt
TIMKEN,Timken
INOXWIND,Inox Wind
WHIRLPOOL,Whirlpool
KIMS,Krishna Institute of Medical Sciences
TRITURBINE,Triveni Turbines
RAMCOCEM,Ramco Cements
ZENTEC,Zen Technologies
ABSLAMC,Aditya Birla Sun Life AMC
RATNAMANI,Ratnamani Metals & Tubes
SAGILITY,Sagility India
SWANENERGY,Swan Energy
IGIL,International Gemmological Institute
SUNDRMFAST,Sundram Fasteners
